player_id,WAR%,wRC+%,OPS%,wOBA%,공격WAA%,WAA%,IsoP%,IsoD%,BABIP%,공격WAR%,wRC%,WPA,spAVG%,P/PA,AVG%,OBP%,SLG%,종합RAA%,공격RAA%,수비RAA%,타격RAA%,주루RAA%,필딩RAA%,HR%,RBI%
15484,64,67,,70,69,46,,,,70,62,,,,,,,46,69,39,71,31,35,84,71
15499,49,26,,33,9,26,,,,12,49,,,,,,,26,9,66,9,92,74,69,61
15503,50,97,,98,67,70,,,,44,22,,,,,,,70,67,61,68,38,68,50,19
15512,27,17,,20,55,42,,,,33,15,,,,,,,42,55,40,58,64,30,50,29
15519,15,40,,26,47,25,,,,38,33,,,,,,,25,47,28,52,35,17,50,19
15530,92,90,88,93,95,91,53,11,93,96,96,95,95,0,100,89,84,91,95,25,96,19,35,91,96
15532,92,94,84,90,98,90,88,56,30,98,98,53,46,42,65,65,86,90,98,12,98,1,7,97,99
15624,37,25,,32,54,54,,,,34,18,,,,,,,54,54,49,57,46,45,50,19
15645,21,34,,40,53,37,,,,30,19,,,,,,,37,53,36,60,31,27,50,29
15652,98,94,91,94,99,98,68,21,95,98,98,74,39,16,96,89,89,98,99,41,99,6,65,91,87
15862,76,65,33,68,58,31,21,68,40,82,90,35,32,2,51,60,26,31,58,39,69,17,90,80,78
15868,29,10,,9,19,35,,,,8,4,,,,,,,35,19,65,17,83,80,50,40
16013,56,79,,38,72,73,,,,52,34,,,,,,,73,72,55,68,82,62,50,35
16038,81,97,,97,87,90,,,,75,59,,,,,,,90,87,66,88,27,81,63,54
16042,63,28,,29,28,73,,,,26,37,,,,,,,73,28,68,25,84,86,50,40
16043,15,14,,15,27,27,,,,10,13,,,,,,,27,27,47,33,11,53,50,29
16058,26,9,,10,46,41,,,,23,10,,,,,,,41,46,43,46,49,36,50,19
16066,78,83,82,84,90,49,93,61,35,91,94,44,18,37,32,39,88,49,90,22,92,0,10,98,96
16072,31,2,,7,52,50,,,,28,8,,,,,,,50,52,48,53,49,52,50,19
16093,42,98,,100,68,63,,,,44,21,,,,,,,63,68,48,71,23,50,50,19
16101,36,3,,7,57,56,,,,32,11,,,,,,,56,57,,60,58,,50,19
16106,86,78,53,73,91,80,47,5,67,92,95,79,88,19,77,40,53,80,91,34,90,81,59,86,98
16110,74,60,,59,43,77,,,,71,68,,,,,,,77,43,68,47,35,72,63,73
16121,93,95,93,95,97,93,96,65,86,97,96,68,86,61,74,77,95,93,97,25,98,2,10,97,92
16124,1,19,,21,6,3,,,,4,33,,,,,,,3,6,31,8,33,5,63,44
16128,48,62,,67,54,19,,,,71,66,,,,,,,19,54,27,58,42,3,50,62
16130,43,100,,7,69,64,,,,45,21,,,,,,,64,69,47,70,40,46,50,19
16136,40,88,,87,77,47,,,,58,42,,,,,,,47,77,35,75,75,17,63,48
