김상수 (Sang-Su Kim),10320,올시즌,2024,,33,SS,0.14,0.22,45,159,155,140,23,32,7,1,2,47,19,2,1,12,2,0,19,4,4,1,0.229,0.297,0.336,0.633,-0.036,71.1,0.36
최형우 (Hyung-Woo Choi),10344,올시즌,2024,KIA,40,DH,1.46,-0.72,59,254,254,226,34,61,15,1,9,105,49,0,1,25,1,2,40,1,0,2,0.270,0.343,0.465,0.808,0.022,114.5,0.74
박동원 (Dong-Won Park),10387,올시즌,2024,LG,33,C,2.08,0.69,55,209,207,175,26,48,10,0,10,88,36,1,0,30,0,1,42,7,1,3,0.274,0.375,0.503,0.878,0.059,142.1,2.77
오재일 (Jae-Il Oh),10400,올시즌,2024,KT,37,1B,-0.10,-0.40,32,97,97,88,9,19,7,1,4,40,11,0,0,8,0,0,29,6,0,1,0.216,0.278,0.455,0.733,-0.045,63.9,-0.50
황재균 (Jae-Gyun Hwang),10407,올시즌,2024,KT,36,3B,0.09,0.35,61,250,247,224,28,57,8,0,3,74,19,4,3,21,1,0,40,5,3,1,0.254,0.320,0.330,0.650,-0.037,70.3,0.44
김태군 (Tae-Kun Kim),10459,올시즌,2024,KIA,34,C,0.13,0.41,45,115,113,100,11,24,3,0,3,36,17,0,0,7,6,0,9,6,2,0,0.240,0.327,0.360,0.687,-0.026,78.5,0.53
박경수 (Kyeong-Su Park),10469,올시즌,2024,KT,39,2B,0.12,-0.03,5,3,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,0.359,370.7,0.10
박병호 (Byung-Ho Park),10470,올시즌,2024,삼성,37,1B,0.25,-0.45,54,163,163,137,15,31,2,0,6,51,18,1,0,22,4,0,49,9,0,0,0.226,0.350,0.372,0.722,-0.019,83.4,-0.21
오지환 (Ji-Hwan Oh),10475,올시즌,2024,LG,33,SS,0.85,0.51,54,198,197,168,31,40,16,1,2,64,16,11,3,27,2,0,58,2,1,0,0.238,0.350,0.381,0.731,0.002,99.7,1.36
오선진 (Sun-Jin Oh),10557,올시즌,2024,롯데,34,2B,-0.03,0.08,8,12,11,8,0,1,0,0,0,1,0,0,0,1,2,0,4,0,1,0,0.125,0.364,0.125,0.489,-0.057,58.4,0.06
